iter	Passed	Remaining
0	1	194
1	4	231
2	6	216
3	8	200
4	10	195
5	12	190
6	13	185
7	15	180
8	17	177
9	19	174
10	21	174
11	23	173
12	25	170
13	27	166
14	28	163
15	30	160
16	32	157
17	34	154
18	35	152
19	37	148
20	38	145
21	40	143
22	42	141
23	43	138
24	45	136
25	47	136
26	49	134
27	51	132
28	53	131
29	55	129
30	57	127
31	59	126
32	61	124
33	63	122
34	65	122
35	67	120
36	69	118
37	71	116
38	72	113
39	74	111
40	76	109
41	77	106
42	79	105
43	81	104
44	83	102
45	85	100
46	87	98
47	89	97
48	92	96
49	94	94
50	96	93
51	98	91
52	101	89
53	103	87
54	104	85
55	106	83
56	109	82
57	111	80
58	113	78
59	115	76
60	117	74
61	119	73
62	121	71
63	124	69
64	126	68
65	128	66
66	130	64
67	132	62
68	135	60
69	137	59
70	139	57
71	141	55
72	143	52
73	144	50
74	146	48
75	149	47
76	152	45
77	154	43
78	156	41
79	157	39
80	159	37
81	162	35
82	164	33
83	166	31
84	168	29
85	170	27
86	172	25
87	173	23
88	175	21
89	176	19
90	178	17
91	181	15
92	183	13
93	185	11
94	186	9
95	188	7
96	190	5
97	191	3
98	193	1
99	195	0
